iter	Logloss
0	0.60348001
1	0.526821671
2	0.4581888644
3	0.4095906054
4	0.3840724106
5	0.3596389974
6	0.343702506
7	0.323127814
8	0.3137364115
9	0.3006109576
10	0.2902311933
11	0.2852189465
12	0.2787151321
13	0.2753732476
14	0.2714392745
15	0.2653716137
16	0.2626143926
17	0.2592308461
18	0.2533800988
19	0.2517196784
20	0.2495276391
21	0.2459752011
22	0.2428031755
23	0.2388290967
24	0.2373987538
25	0.2341884745
26	0.2326019786
27	0.2304606583
28	0.2290239159
29	0.2272751439
30	0.2251242359
31	0.22384893
32	0.2228653099
33	0.2214345417
34	0.2205032557
35	0.2189834909
36	0.2182606928
37	0.217229513
38	0.2166526999
39	0.2149044058
40	0.2139509139
41	0.2125634248
42	0.2122359314
43	0.2117170269
44	0.2106975152
45	0.2096559123
46	0.2083384656
47	0.2078766
48	0.2073449805
49	0.2055437896
50	0.2049837498
51	0.2045463095
52	0.2039712445
53	0.2036169362
54	0.2031132864
55	0.2025311596
56	0.2016625783
57	0.2011972931
58	0.2008093232
59	0.200533547
60	0.2001335807
61	0.1995026371
62	0.1991406372
63	0.1984868958
64	0.1977778396
65	0.1973195971
66	0.1970221858
67	0.196453911
68	0.1959098442
69	0.1950219209
70	0.1943446168
71	0.1939294857
72	0.1935492943
73	0.193330497
74	0.1925632482
75	0.1921691313
76	0.1917722468
77	0.1910580423
78	0.1902377124
79	0.1898605791
80	0.1893450413
81	0.1889015648
82	0.1881623736
83	0.187639872
84	0.186734554
85	0.1863134206
86	0.1858383778
87	0.185585024
88	0.1850165389
89	0.1842077068
90	0.1839523183
91	0.183644053
92	0.1832613281
93	0.1829008816
94	0.1825411342
95	0.1822890406
96	0.1819452521
97	0.1815180206
98	0.1811569296
99	0.1809412375
