iter	Passed	Remaining
0	10	1080
1	20	1007
2	31	1022
3	42	1025
4	52	1006
5	63	1002
6	75	1001
7	84	972
8	96	975
9	105	946
10	115	930
11	125	917
12	134	897
13	144	885
14	153	868
15	163	858
16	174	853
17	184	839
18	195	832
19	207	831
20	216	815
21	227	806
22	236	793
23	246	781
24	257	771
25	265	756
26	276	746
27	287	740
28	298	731
29	313	731
30	325	724
31	337	718
32	348	708
33	359	698
34	369	686
35	378	672
36	388	660
37	397	648
38	407	637
39	416	625
40	426	613
41	435	601
42	444	589
43	454	578
44	464	567
45	474	557
46	485	547
47	494	535
48	504	524
49	513	513
50	523	503
51	532	491
52	541	480
53	551	470
54	561	459
55	572	449
56	582	439
57	591	428
58	601	417
59	610	406
60	621	397
61	631	387
62	640	376
63	650	366
64	660	355
65	670	345
66	679	334
67	689	324
68	699	314
69	707	303
70	717	293
71	725	282
72	734	271
73	745	261
74	754	251
75	764	241
76	773	231
77	783	221
78	793	210
79	802	200
80	813	190
81	821	180
82	832	170
83	841	160
84	851	150
85	861	140
86	870	130
87	880	120
88	889	109
89	900	100
90	909	89
91	919	79
92	930	70
93	940	60
94	950	50
95	958	39
96	968	29
97	979	19
98	989	9
99	1000	0
